#               time            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
            1.47e-09  1.03463666203e-18  2.71857285307e-18   3.7532095151e-18    -0.131659941245    0.0506119144621    0.0231208169564  2.32825980717e-11      1578232586.13               6650                147 
            1.48e-09  1.03668335798e-18  2.71908986819e-18  3.75577322616e-18    -0.133436808028    0.0538818712786    0.0230429632109  2.49487097648e-11      1578232586.19               6677                148 
            1.49e-09  1.03886575681e-18  2.71961906468e-18  3.75848482149e-18    -0.135327794029    0.0570184885919     0.022961947932  2.54390952747e-11      1578232586.24               6704                149 
             1.5e-09     1.04122414e-18  2.72012572983e-18  3.76134986983e-18    -0.137342679698    0.0600139195456     0.022879114295  2.20321538791e-11      1578232586.33               6731                150 
            1.51e-09  1.04379291513e-18   2.7205785109e-18  3.76437142602e-18    -0.139487624647    0.0628607800302    0.0227955071222  2.23666640764e-11      1578232586.42               6758                151 
            1.52e-09  1.04659787071e-18  2.72095113275e-18  3.76754900346e-18     -0.14176456044    0.0655512294082    0.0227120529105  2.35406139026e-11       1578232586.5               6785                152 
            1.53e-09  1.04965437049e-18  2.72122364295e-18  3.77087801344e-18    -0.144171180038    0.0680765641886    0.0226296987503   2.1283308449e-11       1578232586.6               6812                153 
            1.54e-09  1.05296646873e-18  2.72138325129e-18  3.77434972002e-18    -0.146701398866    0.0704275084822      0.02254945824  2.07659445195e-11      1578232586.67               6839                154 
            1.55e-09  1.05652692009e-18  2.72142477214e-18  3.77795169223e-18    -0.149346143842    0.0725951592618    0.0224723522452  2.19030349413e-11      1578232586.77               6865                155 
            1.56e-09  1.06031804393e-18    2.721350623e-18  3.78166866693e-18    -0.152094327374    0.0745723428054    0.0223992722482  2.07013295395e-11      1578232586.85               6892                156 
