#               step          distance_1          distance_2          distance_3          distance_4          distance_5          distance_6          distance_7 
#                                                                                                                                                                
               117 +6.260225354422e+00 +6.487658327596e+00 +6.867533631928e+00 +7.226185972991e+00 +7.234558181212e+00 +7.336420054425e+00 +7.316655048542e+00 
               118 +6.261184153403e+00 +6.488314405265e+00 +6.867460293503e+00 +7.224252410265e+00 +7.233870491447e+00 +7.335929742937e+00 +7.316834280693e+00 
               119 +6.282976180355e+00 +6.503236479260e+00 +6.866949974033e+00 +7.181362566999e+00 +7.218574860841e+00 +7.325071873617e+00 +7.320773517687e+00 
               120 +6.294537657646e+00 +6.511209795213e+00 +6.873836070016e+00 +7.160117105904e+00 +7.209416068211e+00 +7.319497043468e+00 +7.322119435727e+00 
               121 +6.314957341206e+00 +6.525419660198e+00 +6.883754768497e+00 +7.144150981669e+00 +7.195075187294e+00 +7.309831284575e+00 +7.323831166129e+00 
               122 +6.316687482251e+00 +6.526540669040e+00 +6.882465340561e+00 +7.135518226682e+00 +7.192947324846e+00 +7.308954882533e+00 +7.323884414925e+00 
               123 +6.318136694367e+00 +6.527513432743e+00 +6.882158540742e+00 +7.132351935890e+00 +7.191696389515e+00 +7.308264103989e+00 +7.323924669601e+00 
               124 +6.319217514795e+00 +6.528248670512e+00 +6.882125845754e+00 +7.130303254669e+00 +7.190844308949e+00 +7.307754286122e+00 +7.323951056314e+00 
               125 +6.320654949896e+00 +6.529227539676e+00 +6.882166584831e+00 +7.127855289319e+00 +7.189738905680e+00 +7.307078432855e+00 +7.323982543297e+00 
               126 +6.323982152315e+00 +6.531488306916e+00 +6.882380125264e+00 +7.122784967365e+00 +7.187221298938e+00 +7.305519035831e+00 +7.324044410718e+00 
               127 +6.344618278838e+00 +6.545481425140e+00 +6.884815365052e+00 +7.096743120679e+00 +7.172101759076e+00 +7.296000388046e+00 +7.324273992732e+00 
               128 +6.346598749520e+00 +6.546773638103e+00 +6.885138419829e+00 +7.094854310130e+00 +7.170655179909e+00 +7.295085798408e+00 +7.324207328922e+00 
               129 +6.348355120340e+00 +6.547916488354e+00 +6.885361186695e+00 +7.093156099619e+00 +7.169378823485e+00 +7.294275664207e+00 +7.324141348759e+00 
               130 +6.349443379589e+00 +6.548622798659e+00 +6.885479739087e+00 +7.092077501340e+00 +7.168587428920e+00 +7.293774031993e+00 +7.324096714897e+00 
               131 +6.352530429840e+00 +6.550624813141e+00 +6.885796998120e+00 +7.088986955134e+00 +7.166346490807e+00 +7.292353915977e+00 +7.323963843825e+00 
               132 +6.358526329756e+00 +6.554497514659e+00 +6.886289168256e+00 +7.082891244121e+00 +7.161998757041e+00 +7.289604503762e+00 +7.323671029694e+00 
               133 +6.925491940446e+00 +6.960986601800e+00 +6.944874616084e+00 +6.643318504222e+00 +6.843762054080e+00 +7.085405155732e+00 +7.298393318210e+00 
               134 +6.926451597286e+00 +6.960612940786e+00 +6.937159524750e+00 +6.648845994450e+00 +6.840409690253e+00 +7.084429675754e+00 +7.297156282801e+00 
               135 +6.927273170110e+00 +6.960886714625e+00 +6.936125891760e+00 +6.649747907370e+00 +6.839194565910e+00 +7.083732747434e+00 +7.296120643787e+00 
               136 +6.928083009709e+00 +6.961171845029e+00 +6.935354069529e+00 +6.650471496344e+00 +6.838070999148e+00 +7.083048557261e+00 +7.295099468341e+00 
               137 +6.946665087989e+00 +6.968142790504e+00 +6.919018397939e+00 +6.666541238624e+00 +6.812916257852e+00 +7.067402889904e+00 +7.271761135309e+00 
               138 +6.950903593025e+00 +6.969041814604e+00 +6.920521229646e+00 +6.667871197765e+00 +6.809356544969e+00 +7.063508761761e+00 +7.266263722808e+00 
               139 +6.955095035619e+00 +6.969967863906e+00 +6.921173346286e+00 +6.672852945912e+00 +6.805829651678e+00 +7.059612394240e+00 +7.260771575513e+00 
               140 +6.956654837135e+00 +6.970304931289e+00 +6.921455285069e+00 +6.673803944341e+00 +6.804409181347e+00 +7.058133003274e+00 +7.258704263779e+00 
               141 +6.958415906219e+00 +6.970691638306e+00 +6.921632253005e+00 +6.674946279762e+00 +6.802892925450e+00 +7.056453994750e+00 +7.256360586663e+00 
               142 +6.959260880650e+00 +6.970877012277e+00 +6.921707559398e+00 +6.675619114571e+00 +6.802169619990e+00 +7.055642189615e+00 +7.255230347712e+00 
               143 +6.961465145623e+00 +6.971368034492e+00 +6.921907097475e+00 +6.677297008058e+00 +6.800293020872e+00 +7.053518005233e+00 +7.252276091154e+00 
               144 +6.962900192888e+00 +6.971688572143e+00 +6.922026358345e+00 +6.678344204899e+00 +6.799084103231e+00 +7.052121748835e+00 +7.250340335629e+00 
               145 +7.036988932863e+00 +6.996583835004e+00 +6.929195483486e+00 +6.733350008719e+00 +6.738335034451e+00 +6.980988415244e+00 +7.151892274961e+00 
               146 +7.037584426820e+00 +6.996623575397e+00 +6.928640726522e+00 +6.733552624793e+00 +6.738024086308e+00 +6.980115386355e+00 +7.150826786257e+00 
               147 +7.038073931826e+00 +6.996703217431e+00 +6.928592299353e+00 +6.733663089729e+00 +6.737854960845e+00 +6.979410261162e+00 +7.149951067328e+00 
               148 +7.038555281261e+00 +6.996785949089e+00 +6.928577219909e+00 +6.733783272107e+00 +6.737697995572e+00 +6.978715544097e+00 +7.149086761162e+00 
               149 +7.125826471898e+00 +7.026395632623e+00 +6.931982504589e+00 +6.757850897750e+00 +6.711860941389e+00 +6.856026837421e+00 +6.996353955211e+00 
               150 +7.127213954452e+00 +7.031867902974e+00 +6.960513473147e+00 +6.781211301443e+00 +6.725554286974e+00 +6.846221638009e+00 +6.981501757346e+00 
               151 +7.127614101833e+00 +7.033490138915e+00 +6.948517911302e+00 +6.754129006173e+00 +6.724474583046e+00 +6.843847574190e+00 +6.976966640592e+00 
               152 +7.127697209359e+00 +7.033511873844e+00 +6.943709053851e+00 +6.780729589102e+00 +6.723253833404e+00 +6.843290193414e+00 +6.975956137588e+00 
               153 +7.127772964054e+00 +7.033747894335e+00 +6.942516780881e+00 +6.780082808291e+00 +6.723316415551e+00 +6.842816003471e+00 +6.975047399940e+00 
               154 +7.127835943437e+00 +7.033959283143e+00 +6.941726708954e+00 +6.780080935401e+00 +6.723436516268e+00 +6.842428169227e+00 +6.974286247775e+00 
               155 +7.127941664154e+00 +7.034311894894e+00 +6.940515350880e+00 +6.780013426818e+00 +6.723688300892e+00 +6.841779780134e+00 +6.972998369390e+00 
               156 +7.128124109252e+00 +7.034909271082e+00 +6.938675101995e+00 +6.780095498289e+00 +6.724231192284e+00 +6.840663255415e+00 +6.970744215424e+00 
               157 +7.128687758235e+00 +7.036699739021e+00 +6.934061302514e+00 +6.781613993933e+00 +6.726322633416e+00 +6.837219262674e+00 +6.963611342332e+00 
               158 +7.128740095520e+00 +7.036846022269e+00 +6.933816593525e+00 +6.781906950094e+00 +6.726603639135e+00 +6.836886217629e+00 +6.962874066963e+00 
               159 +7.128789080684e+00 +7.036983418855e+00 +6.933609284922e+00 +6.782152260241e+00 +6.726872155912e+00 +6.836574303263e+00 +6.962175063212e+00 
               160 +7.128835530546e+00 +7.037113114104e+00 +6.933412865011e+00 +6.782384426454e+00 +6.727130414229e+00 +6.836276618959e+00 +6.961503648713e+00 
               161 +7.135045684203e+00 +7.056134436621e+00 +6.909608929058e+00 +6.811325479441e+00 +6.759899390761e+00 +6.799167623074e+00 +6.876839076279e+00 
               162 +7.134555286732e+00 +7.053600547832e+00 +6.911686134313e+00 +6.808039156145e+00 +6.762666256835e+00 +6.799198047798e+00 +6.870859860789e+00 
               163 +7.134322934591e+00 +7.052817696316e+00 +6.912366400166e+00 +6.813289576392e+00 +6.763817519264e+00 +6.799183379542e+00 +6.868961728321e+00 
               164 +7.134214394866e+00 +7.052482923834e+00 +6.912427017094e+00 +6.814355486033e+00 +6.764286722786e+00 +6.799172269873e+00 +6.868164226258e+00 
               165 +7.134148579589e+00 +7.052290655884e+00 +6.912450908780e+00 +6.814335296253e+00 +6.764553826133e+00 +6.799166080657e+00 +6.867700832981e+00 
               166 +7.134087161641e+00 +7.052120620166e+00 +6.912527150724e+00 +6.814407027426e+00 +6.764809677313e+00 +6.799162503506e+00 +6.867278883578e+00 
               167 +7.133944247579e+00 +7.051733640199e+00 +6.912699529061e+00 +6.814679322824e+00 +6.765391695371e+00 +6.799154233392e+00 +6.866317747997e+00 
               168 +7.133749765931e+00 +7.051231820456e+00 +6.912910832679e+00 +6.815212911584e+00 +6.766147384127e+00 +6.799142954330e+00 +6.865070974784e+00 
